Dataset,Question,True Answer,Retriever,Generator,K,Predicted Answer
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Dense_2_MPNet,T5_Base,1,Robert De Niro
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Dense_2_MPNet,T5_Base,5,Kirk Douglas
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Dense_2_MPNet,T5_Base,10,"The few movies Bacall shot during this period were all-star vehicles such as Sex and the Single Girl (1964) with Henry Fonda, Tony Curtis and Natalie Wood, Harper (1966) with Paul Newman, Shelley"
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Small,0,john scott
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Small,1,Douglas Sirk
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Small,5,Douglas Sirk
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Small,10,Bacall plays the role of Philip Marlowe
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Base,0,john dylan
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Base,1,Douglas Sirk
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Base,5,Douglas Sirk
TriviaQA,Who directed the classic 30s western Stagecoach?,john ford,Sparse_BM25,T5_Base,10,Mahler's Das Lied von der Erde
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Small,0,saxophone
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Small,1,Destiny
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Small,5,Jackson 5
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Small,10,EMI
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Base,0,screamin dixie
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Base,1,Jacksons
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Base,5,Jacksons
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_1_MiniLM,T5_Base,10,EMI
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Small,0,saxophone
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Small,1,Pink Floyd
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Small,5,Red Hot Chili Peppers
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Small,10,EMI-signed London five-piece Iron Maiden
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Base,0,screamin dixie
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Base,1,Deep Purple
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Base,5,Red Hot Chili Peppers
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Dense_2_MPNet,T5_Base,10,EMI
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Small,0,saxophone
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Small,1,R&B
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Small,5,R&B
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Small,10,Rock and Roll Hall of Fame
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Base,0,screamin dixie
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Base,1,Elvis Presley
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Base,5,Jackson 5
TriviaQA,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,Sparse_BM25,T5_Base,10,Andrew Lloyd Webber
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Small,0,st. john s s s s s s s s s s s s s s s s s s s s s s
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Small,1,52nd Street
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Small,5,52nd Street
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Small,10,Thriller was a slammed album
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Base,0,m5
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Base,1,52nd Street
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Base,5,52nd Street
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_1_MiniLM,T5_Base,10,Invincible
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Small,0,st. john s s s s s s s s s s s s s s s s s s s s s s
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Small,1,Sunset Boulevard
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Small,5,Sunset Boulevard
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Small,10,"""Sunset Boulevard"" is a song by Andrew Lloyd Webber"
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Base,0,m5
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Base,1,Sunset Boulevard
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Base,5,Sunset Boulevard
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Dense_2_MPNet,T5_Base,10,Denis Healey
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Small,0,st. john s s s s s s s s s s s s s s s s s s s s s s
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Small,1,The Big Sleep
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Small,5,Wales Millennium Centre
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Small,10,1988-1989
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Base,0,m5
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Base,1,Interstate 35
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Base,5,Interstate 35
TriviaQA,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Sparse_BM25,T5_Base,10,BAD
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Small,0,sweden
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Small,1,switzerland
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Small,5,Russia
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Small,10,Russia
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Base,0,switzerland
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Base,1,Bulgaria
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Base,5,Russia
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_1_MiniLM,T5_Base,10,Japan
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Small,0,sweden
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Small,1,switzerland
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Small,5,West Germany
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Small,10,  (1968)
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Base,0,switzerland
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Base,1,
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Base,5,Russia
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Dense_2_MPNet,T5_Base,10,  
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Small,0,sweden
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Small,1,Bahrain
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Small,5,United States
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Small,10,"Most recently, Bacall appeared in the French film Le Jour et la Nuit (1997); in Diamonds with Kirk Douglas and in Presence of Mind with Harvey Keitel, both released in 1999; in the TV miniserie"
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Base,0,switzerland
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Base,1,Bahrain
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Base,5,United States
TriviaQA,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,Sparse_BM25,T5_Base,10,Dogville
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Small,0,sex
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Small,1,The Phantom of the Opera
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Small,5,The Spy Who Loved Me
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Small,10,Bogie
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Base,0,savage beasts
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Base,1,The Phantom of the Opera
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Base,5,Designing Woman
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_1_MiniLM,T5_Base,10,Bogie
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Small,0,sex
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Small,1,sex
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Small,5,A-Files: Alien Files
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Small,10,Chipmunks
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Base,0,savage beasts
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Base,1,The Dark Knight
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Base,5,Alien Files
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Dense_2_MPNet,T5_Base,10,Alvin and the Chipmunks
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Small,0,sex
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Small,1,Woman of the Year
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Small,5,Woman of the Year
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Small,10,"Mercury began 3-channel stereo recordings, still based on the principle of the single microphone"
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Base,0,savage beasts
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Base,1,"""Woman of the Year"""
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Base,5,GoldenEye
TriviaQA,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,Sparse_BM25,T5_Base,10,"Andrew Lloyd Webber reunites with lyricist Don Black on his latest musical, based on one of the UK's most notorious political scandals, the Profumo Affair. Richard Eyre directs the world"
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Small,0,saturday night
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Small,1,saturday night
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Small,5,Johnny 2 x 4
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Small,10,Andrew Lloyd Webber
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Base,0,saturday night live
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Base,1,Wonderful Town
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Base,5,How to Marry a Millionaire
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_1_MiniLM,T5_Base,10,Michael then went onto perform solo some of his biggest hits.
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Small,0,saturday night
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Small,1,Oliver!
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Small,5,Oliver!
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Small,10,Andrew Lloyd Webber's SONG & DANCE opened on Broadway in 1985
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Base,0,saturday night live
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Base,1,Oliver!
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Base,5,Oliver!
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Dense_2_MPNet,T5_Base,10,BY JEEVES
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Small,0,saturday night
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Small,1,slain mobsters
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Small,5,Octopussy
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Small,10,"if I fall and hit my head, there will be no one to make the phone call"
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Base,0,saturday night live
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Base,1,If I Were A Rich Man
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Base,5,Octopussy
TriviaQA,If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,Sparse_BM25,T5_Base,10,"if I fall and hit my head, there will be no one to make the phone call."
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Small,0,2017
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Small,1,1982
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Small,5,2001
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Small,10,Richmond's first final appearance since 1982
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Base,0,2017
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Base,1,1982
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Base,5,2001
Natural_Questions,when did richmond last play in a preliminary final,"Richmond Football Club Richmond began 2017 with 5 straight wins, a feat it had not achieved since 1995. A series of close losses hampered the Tigers throughout the middle of the season, including a 5-point loss to the Western Bulldogs, 2-point loss to Fremantle, and a 3-point loss to the Giants. Richmond ended the season strongly with convincing victories over Fremantle and St Kilda in the final two rounds, elevating the club to 3rd on the ladder. Richmond's first final of the season against the Cats at the MCG attracted a record qualifying final crowd of 95,028; the Tigers won by 51 points. Having advanced to the first preliminary finals for the first time since 2001, Richmond defeated Greater Western Sydney by 36 points in front of a crowd of 94,258 to progress to the Grand Final against Adelaide, their first Grand Final appearance since 1982. The attendance was 100,021, the largest crowd to a grand final since 1986. The Crows led at quarter time and led by as many as 13, but the Tigers took over the game as it progressed and scored seven straight goals at one point. They eventually would win by 48 points – 16.12 (108) to Adelaide's 8.12 (60) – to end their 37-year flag drought.[22] Dustin Martin also became the first player to win a Premiership medal, the Brownlow Medal and the Norm Smith Medal in the same season, while Damien Hardwick was named AFL Coaches Association Coach of the Year. Richmond's jump from 13th to premiers also marked the biggest jump from one AFL season to the next.",Dense_1_MiniLM,T5_Base,10,The Petrified Forest
